제목,기자,날짜,내용
하이닉스 조끼 보더니 명품관 직원 ‘돌변’…SNL에 나온 현시점 최고의 밈,최혜승 기자  hsc@chosun.com,2026.04.28. 오후 12:04,"‘SNL코리아 시즌8’ 5회에 등장한 SK하이닉스 작업복을 입은 남성/쿠팡플레이

창사 이래 최대 실적을 기록한 SK하이닉스가 올해 역대급 성과급을 지급할 것이란 기대감이 커진 가..."
김성태 “연어 술파티? 안 먹었다”... 국조특위 청문회서 회유 의혹 부인,이해인 기자 hilee@chosun.com,2026.04.28. 오후 2:38,"김성태 전 쌍방울 회장이 28일 서울 여의도 국회에서 열린 '윤석열정권 정치검찰 조작기소의혹사건 진상규명 국정조사특별위원회' 전체회의에서 의원 질의에 답하고 있다. /남강호 기자
..."
"임신 39주차 백악관 대변인, 총격 사건에 복귀…“강인한 美 여전사”",김명일 기자 mi737@chosun.com,2026.04.28. 오전 10:14,"캐롤라인 레빗 백악관 대변인이 27일(현지 시각) 백악관에서 브리핑을 하고 있다. /AP=연합뉴스

출산을 앞두고 있던 캐롤라인 레빗 백악관 대변인(29)이 ‘백악관 행사 총격 사..."
[단독] GTX역 착공 코앞인데… “못 나간다” 버티는 불법 포장마차,윤성우 기자 dub@chosun.com,2026.04.28. 오후 2:03,"지난 10일 오후 8시 서울 4호선 창동역 1번 출구 앞에서 무허가 포장마차들이 술과 안주를 팔고 있다.이달 말 창동역 GTX-C 역사 착공으로 노점을 비워야 하지만, 상인들은 “..."
김건희 2심 “대통령 당선인 배우자 시절 샤넬백도 알선 대가 인정돼”,김은경 기자 kimngi@chosun.com,2026.04.28. 오후 2:53,"“김건희, 시세조종 직접 가담…공범 책임 인정”

도이치모터스 주가조작과 명태균 공천개입, 통일교 청탁·뇌물 수수 의혹 혐의 등으로 구속기소된 김건희 씨. /뉴스1

김건희 여사의..."
"[속보] 김건희 씨, 2심 선고 출석…교도관 부축 속 법정 입장",최인선 기자 (choi.insun@jtbc.co.kr),2026.04.28. 오후 3:01,...
"""너 1찍이냐"" 대통령 다봤다…국방장관 답변에 ""보고하시라"" [현장영상]",못 찾음,2026.04.28. 오후 1:58,이재명 대통령은 오늘(28일) 오전 청와대서 열린 국무회의에서 군부대 내 '1찍이냐 2찍이냐'를 묻는 조사가 있었다는 의혹이 제기된 뉴스를 봤다며 정말로 그랬는지 조사를 해보라고 ...
"[속보] 2심 ""김건희 씨 800만 원 샤넬백, '알선수재' 인정…묵시적 청탁으로 봐야""",최인선 기자 (choi.insun@jtbc.co.kr),2026.04.28. 오후 3:25,...
"병실 가습기에 락스 넣은 간호사…병원 ""우리 문제 아니야""",김천 기자 (kim.cheon@jtbc.co.kr),2026.04.27. 오후 9:58,"재활병원 병실 가습기에 락스가 들어가는 일이 발생했습니다. 락스가 들어간 가습기는 최소 30시간 이상 작동된 것으로 파악됐습니다.

오늘(27일) JTBC 〈사건반장〉에 따르면 제..."
"호르무즈 통제 ""용납할 수 없다""는 미국에...이란 ""통행료 전용 계좌 개설했다""",이선화 기자 (lee.sunhwa@jtbc.co.kr),2026.04.28. 오후 1:56,"미국이 호르무즈 해협을 우선 개방하고 추후 핵 협상을 이어가자는 이란의 제안을 검토하고 있는 것으로 알려졌습니다.

[캐롤라인 레빗/백악관 대변인]

""그 제안이 논의되고 있는 것..."
"[속보] 2심 “김건희, 주가조작 공동정범 책임 인정”",하누리 (ha@kbs.co.kr),2026.04.28. 오후 3:24,...
‘층견소음’ 뭐길래…흉기 들고 “죽여버리겠다”,현경주 (racing@kbs.co.kr),2026.04.28. 오후 2:13,"3월 24일 저녁, 제주시의 한 다가구주택 앞

지난달 24일 저녁, 제주시의 한 다가구주택에 경찰차가 연달아 오갔습니다. 50대 남성이 흉기를 들고 위층에 있는 이웃집 문을 두드..."
"택배포장 1회만·장례식장 일회용 퇴출…“2030년, 플라스틱 30% 줄인다”",민정희 (jj@kbs.co.kr),2026.04.28. 오후 2:07,"정부가 오는 2030년까지 석유로 만드는 플라스틱 쓰레기를 기존 전망보다 30% 감축하겠다고 밝혔습니다.

김성환 기후에너지환경부 장관은 오늘(28일) 국무회의에서 '탈 플라스틱 ..."
"이 대통령, 소풍 기피 대책 주문…교원단체 “교사 면책권 보장해야”",고아름 (areum@kbs.co.kr),2026.04.28. 오후 3:21,"이재명 대통령이 최근 학교 현장의 소풍 기피 현상에 대해 “책임을 안 지려고 학생들의 기회를 빼앗는 것”이라며 대책을 마련하라고 주문했습니다.

이 대통령은 오늘(28일) 청와대에..."
“불법 현수막 때문에”…11살 초등학생 의식 잃고 쓰러져 [잇슈 키워드],KBS,2026.04.28. 오전 6:57,"다음 키워드 '현수막'입니다.

한 초등학생이 불법 현수막을 고정해 둔 줄에 걸려 의식을 잃는 사고가 있었습니다.

지난 25일 경기도 포천의 한 교차로에서 11살 A 군이 횡단보..."
[단독] “여자화장실 휴지 썼다가 극심한 고통”…‘몰카용 본드’였다,김송현 기자(kim.songhyun@mk.co.kr),2026.04.28. 오후 1:32,"관악구 신림동 상가 화장실서

이물질 묻은 휴지 사용 후 고통

경찰 수사 이어지자 남성 자수

몰카 설치하다가 본드 묻힌듯

[Unspalsh/Jas Min]서울 관악구의 한 화..."
"기안84도 당했다…월 400억 벌던 국내 최대 불법 사이트 돌연 폐쇄, 왜?",이상규 매경 디지털뉴스룸 기자(boyondal@mk.co.kr),2026.04.28. 오후 2:40,"기안84. [사진출처 = 인스타그램]국내 최대 불법 웹툰 공유 사이트인 ‘뉴토끼’가 서비스를 자진 폐쇄했다.

뉴토끼 운영자는 27일 사이트를 통해 “서비스를 종료한다”며 “서비스..."
유튜브로 주식 공부한다던 아버지...‘정보’ 듣고 퇴직금 4억원 날렸다,신윤재 기자(shishis111@mk.co.kr),2026.04.28. 오후 2:18,"AI 24시간 모니터링 가동한 금감원

민원·제보로 접수된 피해자 분석

3대 범죄수법 공유하며 주의환기

이미지 생성=제미나이유튜브와 사회관계망서비스(SNS)에서 활동하는 이른바..."
"“中광고주들, 너무 예뻐서 못 참았다”...6년만에 한한령 뚫은 K팝 여신은",송광섭 특파원(song.kwangsub@mk.co.kr),2026.04.28. 오후 2:05,"블랙핑크 지수, 中기업과 광고 계약

‘중국판 스타벅스’ 루이싱커피 모델

2020년 리사·지드래곤 이후 처음

C뷰티 ‘BABI’는 엑소 세훈 발탁

점점 높아지는 한한령 해제 ..."
[속보] 2심 “김건희 도이치모터스 시세조종에 가담”,최종일 매경 디지털뉴스룸 기자(choi.jongil@mk.co.kr),2026.04.28. 오후 3:26,...
