여행지ID,여행지명칭,지역구분,분류,태그,내용 유형,카피라이터,홈페이지,주소,여행지 경도,여행지 위도,여행지 특징,여행지 코스소개,여행지 누적 추천수,여행지 누적 관심수,여행지 등록일,여행지 찾아가는 길,여행지 연관 계절정보
,구리동해수욕장,인천,체험,기타레저,,,,인천 옹진군 연평면 연평로 528번길 162,125.685571,37.668638,,,0,0,2025-07-09 15:44,,
,호텔 아쿠아펠리스 스카이 전망대&스카이 워크,부산,관광지,기타관광지,,,http://www.aquapalace.co.kr/,부산 수영구 광안해변로 225,129.118789,35.154111,,"호텔아쿠아펠리스 광안리 오션뷰와 광안리의 하늘을 담다.최고의 전망, 최고의 야경어디와도 비교할 수 없는 차별화된 전망대. 광안리 해변과 광안대교를 한눈에 내려다보며 하늘을 걷는 스카이워크입니다.",0,0,2025-07-09 15:44,,
,강릉 국가유산 야행,강원,관광지,기타관광지,,,https://korean.visitkorea.or.kr/detail/fes_detail.do?cotid=00c1fb35-6495-44a5-b978-b6705cd0339b&?ig_category=undefined&mid_category=undefined&?ig_area=undefined,강원 강릉시 임영로131번길 6 임영관,128.891808,37.753121,,"강릉의 야간 문화재 향유 프로그램으로 야간에 보고 즐기는 문화재 및 공연, 전시 프로그램이 진행",0,0,2025-07-09 15:44,,
,여수 야경불꽃크루즈,전남,관광지,기타관광지,,,https://korean.visitkorea.or.kr/detail/fes_detail.do?cotid=bfba024b-76f0-4e70-9300-9482e49f44b1,전라남도 여수시 돌산읍 돌산로 3617-18,127.736941,34.729733,,,0,0,2025-07-09 15:44,,
,태안봄꽃정원,충남,관광지,기타관광지,,,,충청남도 태안군 남면 마검포길 200,126.301274,36.616123,,"병영 훈련 체험, 칼 만들기 체험, 역사 마당극 등",0,0,2025-07-09 15:44,,
,제주감귤박람회,제주,관광지,기타관광지,,,https://korean.visitkorea.or.kr/detail/fes_detail.do?cotid=81cdd516-bf4b-4e69-bcf3-96a6fefc5e38&?ig_category=A02&mid_category=A0208&?ig_area=39,제주 서귀포시 남원읍 중산간동로 7413,126.607604,33.28822,,세계 유일의 순수 전기자동차 엑스포로 제주도에서 매해 개최,0,0,2025-07-09 15:44,,
,스피드호,경남,체험,기타레저,,,http://www.통영스피드배낚시.com/,경남 통영시 용남면 연기길 318,128.466793,34.872888,,가족과 함께하는 선상 체험 낚시!통영스피드배낚시를 찾아주신 여러분께 진심으로 감사합니다.,0,0,2025-07-09 15:44,,
,돔돔돔바다낚시터,경기,체험,기타레저,,,https://cafe.naver.com/blackqc0h3,경기 안산시 단원구 구봉길 55 돔돔돔바다낚시터,126.563217,37.27055,,"주차, 포장, 무선 인터넷, 반려동물 동반, 유아시설(놀이방), 남/녀 화장실 구분, 국민지원금",0,0,2025-07-09 15:44,,
,인천배낚시 광복낚시,인천,체험,기타레저,,,http://815fish.co.kr/niabbs5/index.php,인천시 중구 항동 7가 27-171,126.612489,37.453862,,인천대교와 팔미도 관광 및 초보자도 쉽게 바다낚시를 즐길수 있는 새로운 체험낚시 시스템 입니다.새벽 일찍부터 나와서 하루 전부가 소요되는 종일제 낚시와 다르게 오전이나 오후 원하는 시간을 정하여 바다경치를 보면서 부담없이 즐기는 시간제 낚시입니다.저희 광복낚시는 안전을 최우선으로 생각합니다.(1인당 최대 3억 상해보험가입),0,0,2025-07-09 15:44,,
,에이앤티레저 제트보트,강원,체험,기타레저,,,https://atl3355.wixsite.com/mysite,강원도 속초시 대포항희망길 103,128.6094935,38.17405293,,"비회원 구매 기본1회 50% 할인, 회원가입 10회 이용권 구매시: 11회 이용권 제공 당사 보유선종 회원 평생 50% 할인",0,0,2025-07-09 15:44,,
,전도갯벌체험장,경남,체험,기타레저,,,http://jeondo.kr/,경남 남해군 삼동면 동부대로1662번길 18-8,128.0202243,34.8314793,,전도갯벌체험장은 경남 남해군 삼동면에 위치하고 있습니다.,0,0,2025-07-09 15:44,,
,남해휴게소낚시,경남,체험,기타레저,,,,경남 남해군 고현면 남해대로 3623,127.8710133,34.90191323,,국민지원금,1,0,2025-07-09 15:44,,
,달월낚시터,경기,체험,기타레저,,,,경기 시흥시 군자로 125-39,126.7702677,37.37252857,,"손맛터20,000원 잡이터30,000원송어손맛터25,000원",0,0,2025-07-09 15:44,,
,도남낚시,제주,체험,기타레저,,,,제주 제주시 일주서로 7517,126.4497269,33.49512964,,#낚시용품#바다낚시#타이라바#흘림낚시#출조,0,0,2025-07-09 15:44,,
